"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2002,"Holy Cross",5.01,11,28,39,39,11,2,0,2,298.1,349,225,166,90,154,44,15,15,1199,.291,19,29,4,19,25
2002,"Houston",3.18,48,16,64,64,5,8,5,15,566.1,481,243,200,203,541,"","","","","","","","","",""
2002,"Illinois-Chicago",3.31,39,16,55,55,10,9,6,9,459.1,476,228,169,101,366,63,4,30,1788,.266,19,46,9,12,21
2002,"Illinois",4.45,32,19,51,51,13,4,2,9,412.1,416,230,204,141,301,81,6,37,1558,.267,29,34,5,16,26
2002,"Illinois State",6.00,24,30,54,54,4,1,0,12,454.2,564,364,303,172,310,109,9,51,1874,.301,60,41,7,26,30
2002,"Indiana",4.83,35,20,55,55,10,4,1,10,438.0,517,292,235,172,285,"","","","","","","","","",""
2002,"Indiana State",4.62,30,27,57,57,6,3,2,12,491.1,507,316,252,216,381,104,11,35,1877,.270,32,70,18,30,38
2002,"Iona",4.48,20,28,48,48,6,2,1,8,387.1,491,324,248,173,262,103,13,45,1590,.309,43,56,9,24,17
2002,"Iowa",4.94,26,29,56,56,8,2,1,15,442.2,546,315,243,169,302,89,13,48,1783,.306,44,49,6,22,28
2002,"Jackson State",8.40,23,28,51,51,15,1,0,6,376.0,460,450,351,328,334,93,21,22,1555,.296,72,80,13,24,21
2002,"Jacksonville",4.44,27,31,58,58,10,6,2,7,472.0,484,301,233,164,345,82,9,47,1824,.265,45,47,17,18,31
2002,"Jacksonville State",5.64,23,31,54,54,4,1,0,6,423.0,502,321,265,173,325,95,12,36,1675,.300,51,53,5,32,27
2002,"James Madison",3.77,44,16,60,60,8,5,4,9,527.2,566,268,221,154,420,103,16,37,2054,.276,43,38,13,19,24
2002,"Kansas State",5.23,30,25,55,55,3,2,0,10,489.0,581,386,284,180,374,92,17,66,1985,.293,53,51,13,19,33
2002,"Kent State",5.19,37,22,59,59,3,3,3,15,501.0,582,348,289,182,406,115,6,60,2000,.291,44,34,5,23,32
2002,"Kentucky",5.88,17,36,53,53,5,1,0,3,456.1,568,373,298,173,397,125,14,54,1888,.301,40,37,9,22,27
2002,"Lafayette",5.43,23,22,45,45,14,1,0,3,338.1,430,268,204,114,215,"","","","","","","","","",""
